0,N/A,N/A,"In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port[5] ",Unofficial 
1,Yes,Assigned,"TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA,[1] but by design only TCP is specified.[6] ",Official
5,Assigned,Assigned,"Remote Job Entry[7] was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5[8] and IANA has assigned both TCP and UDP 5 to it. ",Official
7,Yes,Yes,Echo Protocol[9][10] ,Official
9,Yes,Yes,Discard Protocol[11] ,Official
,No,Yes,Wake-on-LAN[13],Unofficial 
11,Yes,Yes,Active Users (systat service)[14][15] ,Official
13,Yes,Yes,Daytime Protocol[16] ,Official
15,Yes,No,Previously netstat service[1][14] ,Unofficial
17,Yes,Yes,Quote of the Day (QOTD)[17] ,Official
18,Yes,Yes,Message Send Protocol[18][19] ,Official
19,Yes,Yes,Character Generator Protocol (CHARGEN)[20] ,Official
20,Yes,Assigned,File Transfer Protocol (FTP) data transfer[10] ,Official
21,Yes,Assigned,File Transfer Protocol (FTP) control (command)[10][12][21][22] ,Official
22,Yes,Assigned,"Secure Shell (SSH),[10] secure logins, file transfers (scp, sftp) and port forwarding ",Official
23,Yes,Assigned,Telnet protocol—unencrypted text communications[10][23] ,Official
25,Yes,Assigned,"Simple Mail Transfer Protocol (SMTP),[10][24] used for email routing between mail servers ",Official
28,Yes,,Palo Alto Networks' Panorama High Availability (HA) sync encrypted port.[25] ,Unofficial
37,Yes,Yes,Time Protocol[26] ,Official
42,Assigned,Yes,Host Name Server Protocol[27] ,Official
43,Yes,Assigned,WHOIS protocol[28][29][30] ,Official
47,Reserved,Reserved,,Official
49,Yes,Yes,"TACACS Login Host protocol.[31] TACACS+, still in draft which is an improved but distinct version of TACACS, only uses TCP 49.[32] ",Official
51,Reserved,Reserved,"Historically used for Interface Message Processor logical address management,[33] entry has been removed by IANA on 2013-05-25 ",Official
52,Assigned,Assigned,"Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[34] ",Official
53,Yes,Yes,Domain Name System (DNS)[35][10] ,Official
